<keywords>=桃 花 * 甘 露 * senLen = 5	1
 ||| 灼 灼 浓 于 酒 ||| -28.076224 -19.446143 ||| -21.083473 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 照 水 笑 春 风 ||| -25.751721 -26.344547 ||| -25.502032 ||| ZZZPP ||| AZZPP ||| 1
 ||| 笑 春 风 满 县 ||| -27.060575 -24.858577 ||| -25.504742 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 第 一 花 村 落 ||| -25.884302 -26.161326 ||| -25.535922 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 照 水 滴 金 盘 ||| -26.375753 -27.205643 ||| -25.587986 ||| ZZZPP ||| AZZPP ||| 1
 ||| 烂 熳 浓 于 酒 ||| -28.713342 -25.858790 ||| -25.589799 ||| ZAPPZ ||| AZPPZ ||| 0
 ||| 第 一 花 红 萼 ||| -26.077021 -26.265208 ||| -25.614953 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 甘 若 饴 如 蜜 ||| -36.981813 -24.452251 ||| -25.618880 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 拂 曙 氛 埃 敛 ||| -29.948602 -24.515865 ||| -25.757315 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 照 水 浓 于 酒 ||| -29.478791 -24.993700 ||| -25.845729 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 玉 佩 笑 春 风 ||| -25.739122 -27.244889 ||| -25.890745 ||| ZZZPP ||| AZZPP ||| 1
 ||| 照 日 绮 罗 丛 ||| -29.709777 -25.213964 ||| -25.964027 ||| ZZZPP ||| AZZPP ||| 1
 ||| 含 晓 露 金 茎 ||| -30.553089 -25.819853 ||| -25.996873 ||| PZZPP ||| AZZPP ||| 1
 ||| 第 一 花 如 蜜 ||| -25.858384 -28.100144 ||| -26.068055 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 第 一 花 园 中 ||| -26.952194 -27.165500 ||| -26.116284 ||| ZZPPA ||| AZPPZ ||| 0
 ||| 第 一 花 疏 影 ||| -28.530861 -25.964085 ||| -26.299472 ||| ZZPAZ ||| AZPPZ ||| 0
 ||| 烂 熳 含 晓 露 ||| -32.623575 -27.166315 ||| -26.305880 ||| ZAPZZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 翠 幕 ||| -30.428663 -27.530817 ||| -26.361257 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 含 晓 露 华 池 ||| -28.090471 -27.843716 ||| -26.525252 ||| PZZAP ||| AZZPP ||| 1
 ||| 含 晓 露 凝 烟 ||| -29.157148 -26.394375 ||| -26.543231 ||| PZZPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 灼 灼 ||| -32.730604 -25.437476 ||| -26.579322 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 照 日 浓 于 酒 ||| -30.856470 -25.378350 ||| -26.591501 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 第 一 花 和 气 ||| -27.015409 -27.098793 ||| -26.686094 ||| ZZPAZ ||| AZPPZ ||| 0
 ||| 烂 熳 艳 不 同 ||| -29.473393 -28.506240 ||| -26.690247 ||| ZAZAA ||| AZZPP ||| 1
 ||| 照 日 笑 春 风 ||| -26.967277 -27.616705 ||| -26.725542 ||| ZZZPP ||| AZZPP ||| 1
 ||| 有 意 娇 春 态 ||| -30.114310 -26.741589 ||| -26.766835 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 第 一 花 天 酒 ||| -27.012997 -28.847359 ||| -26.786125 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 第 一 花 妖 娆 ||| -29.362532 -26.717543 ||| -26.812646 ||| ZZPPA ||| AZPPZ ||| 0
 ||| 灼 灼 滴 金 盘 ||| -27.460903 -28.402584 ||| -26.834728 ||| ZZZPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 疏 影 ||| -30.812826 -26.610656 ||| -26.972487 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 紫 府 ||| -31.823354 -28.354288 ||| -26.982873 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 含 晓 露 凝 脂 ||| -30.529733 -25.868302 ||| -26.999228 ||| PZZPP ||| AZZPP ||| 1
 ||| 第 一 花 红 脸 ||| -27.409569 -27.796726 ||| -27.029218 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 笑 春 风 翠 幕 ||| -28.746784 -26.697152 ||| -27.166595 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 映 日 ||| -30.612025 -28.055792 ||| -27.216316 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 笑 春 风 紫 府 ||| -27.919949 -27.422062 ||| -27.238908 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 玉 佩 浓 于 酒 ||| -31.938723 -26.319578 ||| -27.241233 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 笑 春 风 雨 濯 ||| -26.875512 -29.066096 ||| -27.311526 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 滴 金 盘 玉 佩 ||| -30.373162 -27.750610 ||| -27.326107 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 笑 春 风 似 笑 ||| -27.945011 -28.439642 ||| -27.373997 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 蜂 蝶 使 芳 心 ||| -27.157061 -28.839886 ||| -27.387926 ||| PZZPP ||| AZZPP ||| 1
 ||| 照 水 通 仙 馆 ||| -26.556035 -29.774127 ||| -27.401123 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 含 晓 露 芳 心 ||| -31.644845 -26.511423 ||| -27.496951 ||| PZZPP ||| AZZPP ||| 1
 ||| 烂 熳 滴 金 盘 ||| -29.562847 -28.434553 ||| -27.569555 ||| ZAZPP ||| AZZPP ||| 1
 ||| 叶 底 发 清 香 ||| -28.011365 -28.038334 ||| -27.628219 ||| ZZZPP ||| AZZPP ||| 1
 ||| 多 情 上 玉 肌 ||| -27.927496 -28.692501 ||| -27.642051 ||| PPZZP ||| PPZZP ||| 3
 ||| 蜂 蝶 使 无 言 ||| -27.804584 -28.152123 ||| -27.677035 ||| PZZPP ||| AZZPP ||| 1
 ||| 笑 春 风 疏 影 ||| -28.419660 -27.662678 ||| -27.761824 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 笑 春 风 照 日 ||| -30.248385 -26.919611 ||| -27.777661 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 照 水 渐 流 霞 ||| -26.783713 -30.715213 ||| -27.792257 ||| ZZAPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 五 色 ||| -31.438707 -27.846274 ||| -27.805170 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 滴 金 盘 烂 熳 ||| -30.898719 -27.409218 ||| -27.832686 ||| ZPPZA ||| APPZZ ||| 2
 ||| 烂 熳 蜂 蝶 使 ||| -27.312300 -30.828889 ||| -27.911168 ||| ZAPZZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 玉 佩 ||| -31.113635 -27.007061 ||| -27.926510 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 和 气 ||| -31.726408 -27.946553 ||| -27.943825 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 甘 若 饴 和 气 ||| -35.570815 -29.985466 ||| -27.995380 ||| PZPAZ ||| AZPPZ ||| 0
 ||| 烂 熳 通 仙 馆 ||| -29.712600 -29.127821 ||| -27.999437 ||| ZAPPZ ||| AZPPZ ||| 0
 ||| 第 一 花 夭 夭 ||| -28.295888 -29.602327 ||| -28.003933 ||| ZZPAA ||| AZPPZ ||| 0
 ||| 灼 灼 无 双 艳 ||| -26.155517 -33.831846 ||| -28.051656 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 霞 脸 笑 春 风 ||| -32.754203 -28.125036 ||| -28.089421 ||| PZZPP ||| AZZPP ||| 1
 ||| 玉 佩 通 仙 馆 ||| -26.458451 -31.441482 ||| -28.158579 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 渐 流 霞 照 水 ||| -27.423681 -29.713072 ||| -28.271743 ||| APPZZ ||| APPZZ ||| 2
 ||| 照 日 滴 金 盘 ||| -29.270290 -30.492029 ||| -28.283604 ||| ZZZPP ||| AZZPP ||| 1
 ||| 第 一 花 应 瑞 ||| -28.102447 -30.004977 ||| -28.352850 ||| ZZPAZ ||| AZPPZ ||| 0
 ||| 照 日 渐 流 霞 ||| -28.703153 -28.821368 ||| -28.388385 ||| ZZAPP ||| AZZPP ||| 1
 ||| 浓 于 酒 烂 熳 ||| -32.786682 -28.908581 ||| -28.400945 ||| PPZZA ||| PPZZP ||| 3
 ||| 蜂 蝶 使 芳 姿 ||| -28.245412 -29.654899 ||| -28.470271 ||| PZZPP ||| AZZPP ||| 1
 ||| 含 晓 露 生 春 ||| -30.896155 -29.423104 ||| -28.525035 ||| PZZPP ||| AZZPP ||| 1
 ||| 笑 春 风 照 水 ||| -29.646094 -28.133833 ||| -28.569713 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 滴 金 盘 紫 府 ||| -30.595482 -30.143603 ||| -28.574042 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 浓 于 酒 暖 风 ||| -31.243193 -29.469738 ||| -28.575221 ||| PPZZP ||| PPZZP ||| 3
 ||| 绮 罗 丛 似 笑 ||| -30.424148 -31.028444 ||| -28.586241 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 烟 滋 第 一 花 ||| -31.218068 -27.871678 ||| -28.598387 ||| PPZZP ||| PPZZP ||| 3
 ||| 和 风 绿 间 红 ||| -32.164219 -27.448505 ||| -28.837078 ||| APZAP ||| PPZZP ||| 3
 ||| 含 晓 露 芳 姿 ||| -31.737631 -28.727623 ||| -28.864515 ||| PZZPP ||| AZZPP ||| 1
 ||| 浓 于 酒 洛 阳 ||| -33.319598 -28.158670 ||| -28.959424 ||| PPZZP ||| PPZZP ||| 3
 ||| 含 晓 露 珠 联 ||| -30.980164 -29.720773 ||| -28.999141 ||| PZZPP ||| AZZPP ||| 1
 ||| 蜂 蝶 使 生 春 ||| -29.677314 -29.220411 ||| -29.003525 ||| PZZPP ||| AZZPP ||| 1
 ||| 玉 佩 艳 不 同 ||| -31.228947 -28.967027 ||| -29.045847 ||| ZZZAA ||| AZZPP ||| 1
 ||| 滴 金 盘 照 水 ||| -30.281292 -30.866412 ||| -29.181158 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 笑 春 风 应 瑞 ||| -30.703783 -29.104288 ||| -29.219705 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 第 一 花 神 液 ||| -28.931530 -31.656290 ||| -29.243172 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 烂 熳 无 双 艳 ||| -27.249301 -33.632766 ||| -29.253223 ||| ZAPPZ ||| AZPPZ ||| 0
 ||| 渐 流 霞 映 日 ||| -30.078467 -30.154646 ||| -29.265942 ||| APPZZ ||| APPZZ ||| 2
 ||| 蜂 蝶 使 金 茎 ||| -29.295634 -30.015452 ||| -29.284597 ||| PZZPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 夭 夭 ||| -33.557411 -29.580676 ||| -29.360956 ||| ZPPAA ||| APPZZ ||| 2
 ||| 笑 春 风 剪 锦 ||| -29.100358 -31.543026 ||| -29.362625 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 笑 春 风 映 日 ||| -29.481556 -29.946233 ||| -29.394922 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 玉 聚 笑 春 风 ||| -29.639060 -30.382471 ||| -29.429489 ||| ZZZPP ||| AZZPP ||| 1
 ||| 甘 若 饴 园 中 ||| -37.359046 -30.876983 ||| -29.432900 ||| PZPPA ||| AZPPZ ||| 0
 ||| 浓 于 酒 不 言 ||| -33.127434 -29.164816 ||| -29.435534 ||| PPZAP ||| PPZZP ||| 3
 ||| 含 晓 露 成 蹊 ||| -33.927262 -28.276406 ||| -29.452768 ||| PZZPP ||| AZZPP ||| 1
 ||| 笑 春 风 润 叶 ||| -28.628082 -33.309329 ||| -29.474920 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 玉 佩 无 双 艳 ||| -27.394640 -33.807516 ||| -29.483379 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 蜂 蝶 使 妖 娆 ||| -30.918989 -28.661243 ||| -29.492776 ||| PZZPA ||| AZZPP ||| 1
 ||| 笑 春 风 愈 疾 ||| -31.379553 -28.557725 ||| -29.560971 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 玉 佩 渐 流 霞 ||| -27.926241 -32.452607 ||| -29.576744 ||| ZZAPP ||| AZZPP ||| 1
 ||| 灼 灼 渐 流 霞 ||| -28.759907 -31.959851 ||| -29.603826 ||| ZZAPP ||| AZZPP ||| 1
 ||| 笑 春 风 夭 夭 ||| -29.721692 -30.954393 ||| -29.618052 ||| ZPPAA ||| APPZZ ||| 2
 ||| 烟 滋 含 晓 露 ||| -33.176391 -28.178488 ||| -29.623261 ||| PPPZZ ||| APPZZ ||| 2
 ||| 浓 于 酒 华 池 ||| -31.969512 -30.861253 ||| -29.623951 ||| PPZAP ||| PPZZP ||| 3
 ||| 笑 春 风 玉 聚 ||| -30.765251 -29.909121 ||| -29.682616 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 渐 流 霞 烂 熳 ||| -29.439020 -30.565536 ||| -29.688014 ||| APPZA ||| APPZZ ||| 2
 ||| 蜂 蝶 使 良 宵 ||| -31.170937 -29.496889 ||| -29.695969 ||| PZZPP ||| AZZPP ||| 1
 ||| 滴 金 盘 和 气 ||| -32.764280 -29.483471 ||| -29.702472 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 灼 灼 通 仙 馆 ||| -29.099808 -31.266501 ||| -29.708883 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 蜂 蝶 使 华 池 ||| -32.060857 -29.012274 ||| -29.717155 ||| PZZAP ||| AZZPP ||| 1
 ||| 玉 聚 绮 罗 丛 ||| -31.593545 -31.742081 ||| -29.727334 ||| ZZZPP ||| AZZPP ||| 1
 ||| 笑 春 风 发 萼 ||| -29.803572 -32.805859 ||| -29.772311 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 滴 金 盘 翠 幕 ||| -32.252481 -30.448979 ||| -29.788762 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 滴 金 盘 灼 灼 ||| -31.299869 -32.247570 ||| -29.791559 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 照 水 无 双 艳 ||| -28.264714 -33.332412 ||| -29.879110 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 蜂 蝶 使 临 风 ||| -31.283198 -29.538972 ||| -29.908159 ||| PZZPP ||| AZZPP ||| 1
 ||| 蜂 蝶 使 千 龄 ||| -32.915818 -29.132769 ||| -30.004330 ||| PZZPP ||| AZZPP ||| 1
 ||| 灼 灼 比 祥 云 ||| -29.473953 -33.308429 ||| -30.029687 ||| ZZZPP ||| AZZPP ||| 1
 ||| 甘 若 饴 妖 娆 ||| -40.524573 -29.805589 ||| -30.033691 ||| PZPPA ||| AZPPZ ||| 0
 ||| 第 一 花 垂 木 ||| -29.874214 -31.770381 ||| -30.059585 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 甘 若 饴 微 雨 ||| -39.290308 -30.205522 ||| -30.083995 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 滴 金 盘 满 县 ||| -32.515685 -30.279426 ||| -30.096456 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 烂 熳 渐 流 霞 ||| -28.843948 -31.991820 ||| -30.112653 ||| ZAAPP ||| AZZPP ||| 1
 ||| 渐 流 霞 灼 灼 ||| -30.563292 -31.023074 ||| -30.123722 ||| APPZZ ||| APPZZ ||| 2
 ||| 照 水 艳 不 同 ||| -32.695961 -29.454608 ||| -30.168076 ||| ZZZAA ||| AZZPP ||| 1
 ||| 玉 佩 比 祥 云 ||| -29.318900 -33.298232 ||| -30.185939 ||| ZZZPP ||| AZZPP ||| 1
 ||| 渐 流 霞 照 日 ||| -29.538218 -31.499034 ||| -30.263034 ||| APPZZ ||| APPZZ ||| 2
 ||| 甘 若 饴 无 主 ||| -37.600800 -30.673812 ||| -30.293976 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 蜂 蝶 使 不 言 ||| -31.973249 -29.694454 ||| -30.297305 ||| PZZAP ||| AZZPP ||| 1
 ||| 蜂 蝶 使 园 中 ||| -30.844778 -31.238823 ||| -30.363096 ||| PZZPA ||| AZZPP ||| 1
 ||| 照 日 艳 不 同 ||| -33.108617 -29.807095 ||| -30.370107 ||| ZZZAA ||| AZZPP ||| 1
 ||| 滴 金 盘 照 日 ||| -32.265958 -31.200900 ||| -30.392085 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 满 县 ||| -33.843149 -29.885028 ||| -30.402950 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 照 水 ||| -35.254197 -28.512478 ||| -30.418160 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 含 晓 露 无 言 ||| -33.687826 -29.837720 ||| -30.451705 ||| PZZPP ||| AZZPP ||| 1
 ||| 滴 金 盘 玉 聚 ||| -33.258450 -31.612827 ||| -30.464231 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 愈 疾 ||| -38.540790 -28.649306 ||| -30.529284 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 含 晓 露 呈 祥 ||| -32.891460 -30.459777 ||| -30.530864 ||| PZZPP ||| AZZPP ||| 1
 ||| 渐 流 霞 满 县 ||| -31.219736 -31.726771 ||| -30.614971 ||| APPZZ ||| APPZZ ||| 2
 ||| 含 晓 露 妖 娆 ||| -33.613593 -30.424873 ||| -30.633040 ||| PZZPA ||| AZZPP ||| 1
 ||| 甘 若 饴 红 萼 ||| -38.747038 -31.163841 ||| -30.644182 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 含 晓 露 园 中 ||| -34.881823 -29.970968 ||| -30.652093 ||| PZZPA ||| AZZPP ||| 1
 ||| 含 晓 露 丹 唇 ||| -32.527910 -31.870217 ||| -30.675797 ||| PZZPP ||| AZZPP ||| 1
 ||| 含 晓 露 不 言 ||| -38.553887 -29.544718 ||| -30.682501 ||| PZZAP ||| AZZPP ||| 1
 ||| 含 晓 露 千 龄 ||| -34.642401 -29.953034 ||| -30.753139 ||| PZZPP ||| AZZPP ||| 1
 ||| 玉 聚 滴 金 盘 ||| -30.940913 -33.880438 ||| -30.775186 ||| ZZZPP ||| AZZPP ||| 1
 ||| 含 晓 露 烟 滋 ||| -32.248099 -34.101437 ||| -30.799290 ||| PZZPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 照 日 ||| -35.789953 -28.846965 ||| -30.817264 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 蜂 蝶 使 成 蹊 ||| -33.388834 -29.702917 ||| -30.951669 ||| PZZPP ||| AZZPP ||| 1
 ||| 浓 于 酒 淡 红 ||| -34.610671 -30.887932 ||| -30.957541 ||| PPZZP ||| PPZZP ||| 3
 ||| 绮 罗 丛 玉 聚 ||| -33.523728 -30.869278 ||| -30.992845 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 照 水 比 祥 云 ||| -30.200792 -33.080660 ||| -30.996647 ||| ZZZPP ||| AZZPP ||| 1
 ||| 蜂 蝶 使 夭 夭 ||| -31.330884 -32.079111 ||| -31.031771 ||| PZZAA ||| AZZPP ||| 1
 ||| 甘 若 饴 天 酒 ||| -38.960562 -30.527154 ||| -31.060354 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 玉 聚 浓 于 酒 ||| -34.598186 -31.304675 ||| -31.071688 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 烂 熳 比 祥 云 ||| -30.710426 -33.340398 ||| -31.106374 ||| ZAZPP ||| AZZPP ||| 1
 ||| 第 一 花 朱 脸 ||| -31.173496 -32.518612 ||| -31.125497 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 烂 熳 先 瑞 雪 ||| -31.301948 -31.592680 ||| -31.146178 ||| ZAAZZ ||| APPZZ ||| 2
 ||| 照 日 类 浣 纱 ||| -38.129609 -29.944434 ||| -31.153539 ||| ZZZAP ||| AZZPP ||| 1
 ||| 绮 罗 丛 发 萼 ||| -32.800867 -34.306156 ||| -31.164110 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 先 瑞 雪 无 言 ||| -30.152523 -34.645236 ||| -31.185415 ||| AZZPP ||| AZZPP ||| 1
 ||| 含 晓 露 灵 滋 ||| -32.235083 -35.343150 ||| -31.198557 ||| PZZPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 应 瑞 ||| -38.605155 -30.829269 ||| -31.200704 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 甘 若 饴 红 艳 ||| -39.361104 -31.812189 ||| -31.201457 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 先 瑞 雪 千 龄 ||| -30.578258 -34.020257 ||| -31.216602 ||| AZZPP ||| AZZPP ||| 1
 ||| 烟 滋 艳 不 同 ||| -33.521140 -31.259559 ||| -31.248178 ||| PPZAA ||| PPZZP ||| 3
 ||| 先 瑞 雪 生 春 ||| -30.750254 -33.983848 ||| -31.295147 ||| AZZPP ||| AZZPP ||| 1
 ||| 含 晓 露 红 葩 ||| -33.311969 -31.743877 ||| -31.308946 ||| PZZPP ||| AZZPP ||| 1
 ||| 湛 湛 滴 阶 蓂 ||| -31.078872 -32.001278 ||| -31.318875 ||| ZZZPA ||| AZZPP ||| 1
 ||| 类 浣 纱 溪 畔 ||| -35.827840 -30.605501 ||| -31.373291 ||| ZAPPZ ||| AZPPZ ||| 0
 ||| 第 一 花 枯 萼 ||| -30.660937 -34.814168 ||| -31.385920 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 照 日 通 仙 馆 ||| -30.749978 -32.792802 ||| -31.387779 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 含 晓 露 良 宵 ||| -34.833018 -31.269508 ||| -31.401456 ||| PZZPP ||| AZZPP ||| 1
 ||| 甘 若 饴 村 落 ||| -40.433983 -30.693980 ||| -31.418875 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 含 晓 露 临 风 ||| -35.953235 -31.636694 ||| -31.422920 ||| PZZPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 润 叶 ||| -33.357361 -33.823803 ||| -31.449327 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 先 瑞 雪 凝 脂 ||| -32.403432 -32.400116 ||| -31.464891 ||| AZZPP ||| AZZPP ||| 1
 ||| 先 瑞 雪 呈 祥 ||| -30.915174 -35.749961 ||| -31.465130 ||| AZZPP ||| AZZPP ||| 1
 ||| 蜂 蝶 使 仙 园 ||| -30.788008 -34.867713 ||| -31.469800 ||| PZZPP ||| AZZPP ||| 1
 ||| 先 瑞 雪 芳 心 ||| -31.353648 -34.925658 ||| -31.470664 ||| AZZPP ||| AZZPP ||| 1
 ||| 第 一 花 仁 泽 ||| -33.375725 -33.254973 ||| -31.475374 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 先 瑞 雪 凝 烟 ||| -31.425866 -33.711488 ||| -31.538001 ||| AZZPP ||| AZZPP ||| 1
 ||| 烂 熳 微 醉 日 ||| -30.766570 -32.975053 ||| -31.633016 ||| ZAPZZ ||| APPZZ ||| 2
 ||| 浓 于 酒 夭 夭 ||| -34.940646 -32.160918 ||| -31.641004 ||| PPZAA ||| PPZZP ||| 3
 ||| 滴 金 盘 疏 影 ||| -36.702044 -31.172104 ||| -31.650554 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 甘 若 饴 疏 影 ||| -43.056314 -30.314492 ||| -31.681420 ||| PZPAZ ||| AZPPZ ||| 0
 ||| 艳 不 同 玉 佩 ||| -33.222555 -31.904974 ||| -31.736811 ||| ZAAZZ ||| APPZZ ||| 2
 ||| 含 晓 露 成 甘 ||| -33.621987 -33.229237 ||| -31.740041 ||| PZZPP ||| AZZPP ||| 1
 ||| 蜂 蝶 使 丹 唇 ||| -31.408817 -33.032285 ||| -31.741598 ||| PZZPP ||| AZZPP ||| 1
 ||| 甘 若 饴 红 脸 ||| -39.646527 -32.695359 ||| -31.760661 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 蜂 蝶 使 呈 祥 ||| -34.249580 -30.300017 ||| -31.771587 ||| PZZPP ||| AZZPP ||| 1
 ||| 含 晓 露 沾 条 ||| -33.177826 -33.921162 ||| -31.814619 ||| PZZPP ||| AZZPP ||| 1
 ||| 照 水 凝 风 草 ||| -30.703672 -36.309795 ||| -31.855022 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 甘 若 饴 溪 畔 ||| -40.949411 -31.406020 ||| -31.875621 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 照 日 无 双 艳 ||| -30.188266 -36.057877 ||| -31.914798 ||| ZZPPZ ||| AZPPZ ||| 0
